Date,Temperature,Rainfall,Atm_pressure,Wind_speed
2016-01-01,4,0.00,1017,13
2016-01-02,3,0.00,1017,16
2016-01-03,6,0.00,1012,16
2016-01-04,-2,0.00,1018,8
2016-01-05,-4,0.00,1036,10
2016-01-06,2,0.00,1034,11
2016-01-07,3,0.00,1026,8
2016-01-08,4,0.00,1023,16
2016-01-09,7,0.00,1021,21
2016-01-10,11,0.00,1002,23
2016-01-11,1,0.00,1013,21
2016-01-12,2,0.00,1011,11
2016-01-13,-2,0.00,1014,18
2016-01-14,0,0.00,1015,16
2016-01-15,7,0.00,1010,8
2016-01-16,9,0.00,1001,13
2016-01-17,3,0.00,1009,8
2016-01-18,-3,0.00,1011,13
2016-01-19,-3,0.00,1017,18
2016-01-20,1,0.00,1021,8
2016-01-21,1,256.54,1021,6
2016-01-22,-2,0.00,1024,10
2016-01-23,-2,0.00,1007,27
2016-01-24,-1,0.00,1014,5
2016-01-25,1,0.00,1025,8
2016-01-26,6,0.00,1017,11
2016-01-27,6,0.00,1017,6
2016-01-28,3,0.00,1013,6
2016-01-29,3,0.00,1002,8
2016-01-30,2,0.00,1017,10
2016-01-31,8,0.00,1013,10
2016-02-01,11,0.00,1011,10
2016-02-02,8,0.00,1026,6
2016-02-03,10,0.00,1018,5
2016-02-04,11,0.00,1015,8
2016-02-05,3,0.00,1021,11
2016-02-06,2,0.00,1028,8
2016-02-07,4,0.00,1020,10
2016-02-08,2,0.00,1008,24
2016-02-09,1,0.00,1004,14
2016-02-10,3,0.00,1004,13
2016-02-11,-3,0.00,1014,11
2016-02-12,-6,0.00,1021,10
2016-02-13,-8,0.00,1019,13
2016-02-14,-11,0.00,1032,6
2016-02-15,-3,0.00,1030,11
2016-02-16,7,0.00,1008,11
2016-02-17,3,0.00,1016,6
2016-02-18,2,0.00,1030,6
2016-02-19,0,0.00,1032,10
2016-02-20,10,0.00,1014,11
2016-02-21,9,0.00,1013,8
2016-02-22,7,0.00,1020,11
2016-02-23,4,0.00,1025,24
2016-02-24,8,0.00,1009,26
2016-02-25,9,0.00,994,18
2016-02-26,2,0.00,1012,8
2016-02-27,2,0.00,1019,11
2016-02-28,9,0.00,1013,14
2016-03-01,8,0.00,1016,13
2016-03-02,6,0.00,1007,10
2016-03-03,0,0.00,1024,6
2016-03-04,3,0.00,1019,13
2016-03-05,3,0.00,1022,6
2016-03-06,4,0.00,1025,6
2016-03-07,8,0.00,1021,13
2016-03-08,12,0.00,1020,6
2016-03-09,16,0.00,1019,8
2016-03-10,19,0.00,1014,8
2016-03-11,14,0.00,1020,5
2016-03-12,10,0.00,1023,8
2016-03-13,13,0.00,1017,8
2016-03-14,8,0.00,1017,21
2016-03-15,10,0.00,1009,19
2016-03-16,12,0.00,1010,5
2016-03-17,12,0.00,1010,10
2016-03-18,11,0.00,1010,10
2016-03-19,6,0.00,1019,6
2016-03-20,4,0.00,1019,21
2016-03-21,6,0.00,1011,6
2016-03-22,8,0.00,1020,10
2016-03-23,16,0.00,1015,13
2016-03-24,10,0.00,1016,21
2016-03-25,14,0.00,1008,11
2016-03-26,8,0.00,1026,13
2016-03-27,9,0.00,1027,10
2016-03-28,12,0.00,1007,18
2016-03-29,10,0.00,1014,6
2016-03-30,8,0.00,1026,11
2016-03-31,14,0.00,1015,14
2016-04-01,20,0.00,1003,11
2016-04-02,13,0.00,1000,8
2016-04-03,7,0.00,1006,11
2016-04-04,4,0.00,1013,13
2016-04-05,3,0.00,1025,11
2016-04-06,4,0.00,1025,10
2016-04-07,11,0.00,1003,8
2016-04-08,9,0.00,1003,21
2016-04-09,6,0.00,1009,11
2016-04-10,6,0.00,1025,8
2016-04-11,11,0.00,1021,13
2016-04-12,12,0.00,1018,5
2016-04-13,10,0.00,1028,8
2016-04-14,11,0.00,1028,11
2016-04-15,12,0.00,1030,6
2016-04-16,14,0.00,1030,10
2016-04-17,14,0.00,1029,3
2016-04-18,18,0.00,1022,3
2016-04-19,18,0.00,1016,6
2016-04-20,16,0.51,1024,5
2016-04-21,16,0.00,1020,10
2016-04-22,21,0.00,1012,6
2016-04-23,18,2.03,1010,11
2016-04-24,14,0.00,1017,11
2016-04-25,16,0.00,1015,8
2016-04-26,12,2.29,1007,16
2016-04-27,12,0.25,1013,13
2016-04-28,11,0.00,1017,11
2016-04-29,12,0.51,1019,11
2016-04-30,13,0.00,1023,11
2016-05-01,9,3.30,1022,10
2016-05-02,12,0.00,1015,8
2016-05-03,12,14.22,1011,11
2016-05-04,11,0.25,1008,14
2016-05-05,11,0.00,1005,19
2016-05-06,11,8.64,1007,23
2016-05-07,12,0.25,1008,14
2016-05-08,15,2.29,1007,6
2016-05-09,17,0.00,1015,11
2016-05-10,13,0.00,1023,16
2016-05-11,17,0.00,1021,6
2016-05-12,19,0.00,1019,8
2016-05-13,17,6.10,1011,2
2016-05-14,18,0.25,1007,10
2016-05-15,12,0.00,1009,11
2016-05-16,13,0.00,1018,18
2016-05-17,16,0.00,1022,13
2016-05-18,16,0.00,1020,8
2016-05-19,17,0.00,1020,5
2016-05-20,19,0.00,1023,5
2016-05-21,16,1.02,1019,8
2016-05-22,17,1.52,1010,10
2016-05-23,18,0.00,1013,5
2016-05-24,19,3.56,1013,8
2016-05-25,23,0.00,1017,10
2016-05-26,26,0.00,1018,8
2016-05-27,24,0.00,1017,3
2016-05-28,26,0.00,1020,8
2016-05-29,24,0.00,1020,8
2016-05-30,22,36.58,1015,3
2016-05-31,24,0.00,1014,8
2016-06-01,23,0.00,1019,10
2016-06-02,20,0.00,1020,14
2016-06-03,19,0.76,1018,5
2016-06-04,23,0.76,1015,3
2016-06-05,21,15.75,1008,6
2016-06-06,23,0.25,1005,13
2016-06-07,25,0.51,1000,10
2016-06-08,17,13.97,1004,6
2016-06-09,18,0.00,1010,6
2016-06-10,21,0.00,1015,3
2016-06-11,23,0.00,1012,10
2016-06-12,24,0.00,1005,10
2016-06-13,20,0.00,1010,5
2016-06-14,22,0.00,1013,5
2016-06-15,24,0.00,1013,5
2016-06-16,21,1.02,1009,3
2016-06-17,21,0.00,1014,6
2016-06-18,23,0.00,1023,6
2016-06-19,24,0.00,1026,6
2016-06-20,23,0.00,1019,5
2016-06-21,27,0.00,1009,10
2016-06-22,26,0.00,1010,5
2016-06-23,23,0.00,1011,5
2016-06-24,24,0.00,1016,10
2016-06-25,23,0.00,1022,11
2016-06-26,23,0.00,1023,5
2016-06-27,23,7.11,1018,11
2016-06-28,23,12.19,1014,8
2016-06-29,26,0.51,1012,3
2016-06-30,24,0.00,1016,6
2016-07-01,23,8.64,1014,6
2016-07-02,23,0.00,1015,5
2016-07-03,23,0.00,1019,8
2016-07-04,23,5.33,1017,10
2016-07-05,27,11.18,1009,5
2016-07-06,28,0.00,1011,5
2016-07-07,28,0.00,1008,5
2016-07-08,26,0.76,1009,8
2016-07-09,21,6.10,1011,13
2016-07-10,23,0.00,1012,6
2016-07-11,24,0.00,1018,3
2016-07-12,24,0.00,1020,8
2016-07-13,26,0.00,1018,10
2016-07-14,28,8.64,1012,8
2016-07-15,29,0.00,1011,10
2016-07-16,28,3.30,1016,10
2016-07-17,28,0.00,1019,5
2016-07-18,29,8.13,1018,10
2016-07-19,27,0.00,1019,6
2016-07-20,26,0.00,1022,8
2016-07-21,26,0.00,1020,10
2016-07-22,28,0.00,1013,14
2016-07-23,31,0.00,1010,10
2016-07-24,29,0.00,1014,5
2016-07-25,28,51.05,1013,6
2016-07-26,28,0.25,1012,8
2016-07-27,28,0.00,1013,5
2016-07-28,28,0.00,1012,6
2016-07-29,26,30.23,1011,10
2016-07-30,27,5.33,1016,8
2016-07-31,24,3.81,1016,10
2016-08-01,24,0.51,1017,16
2016-08-02,24,0.00,1019,14
2016-08-03,24,0.00,1021,10
2016-08-04,24,0.00,1021,5
2016-08-05,26,0.00,1016,10
2016-08-06,27,0.00,1008,11
2016-08-07,28,0.00,1011,3
2016-08-08,27,0.00,1018,6
2016-08-09,27,0.00,1022,10
2016-08-10,28,1.52,1021,10
2016-08-11,30,5.08,1017,8
2016-08-12,29,4.32,1013,10
2016-08-13,30,0.00,1012,8
2016-08-14,31,0.00,1014,8
2016-08-15,27,0.00,1020,6
2016-08-16,29,0.00,1020,8
2016-08-17,28,1.02,1016,16
2016-08-18,27,0.51,1015,5
2016-08-19,28,0.00,1013,5
2016-08-20,28,8.64,1013,6
2016-08-21,28,2.29,1011,11
2016-08-22,24,0.00,1015,3
2016-08-23,24,0.00,1025,5
2016-08-24,26,0.00,1024,10
2016-08-25,26,0.00,1019,14
2016-08-26,29,0.00,1016,6
